,open,high,low,close,volume,atr_14_pct,atr_vol_20,range_pct,dist_sma50_pct,macd_hist,bb_bw_20,vol_ratio_20,vol_cv_20,cmf_20,up_down_vol_ratio_20,ret_vol_corr_20,pct_dist_to_20_high,breakout_up_20,breakout_down_20,vwap_dist,vwap_slope_5,wick_to_body_ratio,inside_bar,engulfing,gap_pct,up_streak,down_streak,wick_up_streak_3,wick_down_streak_3,ret_skew_20,ret_kurt_20,ret_skew_60,ret_kurt_60,dow,dow_sin,dow_cos,hour,hour_sin,hour_cos,y_reg,y_cls
open,1.0,1.0,1.0,1.0,-0.36,-0.49,0.04,-0.21,0.16,0.04,-0.16,0.02,0.07,0.16,0.04,0.03,0.26,0.06,-0.02,-0.02,0.08,0.03,-0.0,0.01,-0.07,-0.03,-0.02,0.11,-0.11,0.02,0.03,0.06,0.22,-0.0,-0.0,-0.0,,,,-0.12,-0.06
high,1.0,1.0,1.0,1.0,-0.34,-0.47,0.05,-0.18,0.17,0.05,-0.15,0.04,0.07,0.17,0.05,0.03,0.27,0.08,-0.03,0.02,0.09,0.03,-0.01,0.02,-0.08,-0.01,-0.04,0.12,-0.11,0.02,0.04,0.06,0.23,0.0,-0.0,-0.0,,,,-0.12,-0.06
low,1.0,1.0,1.0,1.0,-0.38,-0.5,0.04,-0.25,0.17,0.05,-0.16,-0.0,0.06,0.16,0.05,0.03,0.28,0.07,-0.04,0.02,0.1,0.03,0.01,0.0,-0.08,-0.01,-0.05,0.11,-0.11,0.02,0.03,0.06,0.22,-0.0,0.0,-0.0,,,,-0.12,-0.06
close,1.0,1.0,1.0,1.0,-0.36,-0.49,0.04,-0.21,0.18,0.05,-0.16,0.02,0.06,0.18,0.06,0.03,0.29,0.09,-0.05,0.07,0.11,0.03,-0.0,0.01,-0.07,0.01,-0.07,0.11,-0.11,0.02,0.03,0.06,0.22,-0.0,-0.0,-0.0,,,,-0.12,-0.06
volume,-0.36,-0.34,-0.38,-0.36,1.0,0.52,0.16,0.62,0.11,-0.03,0.32,0.64,0.17,-0.0,0.02,0.02,-0.19,0.12,0.13,0.0,-0.01,-0.02,-0.06,0.03,0.08,0.09,0.02,-0.04,-0.02,-0.03,0.19,-0.1,0.08,-0.01,0.05,-0.07,,,,-0.0,-0.02
atr_14_pct,-0.49,-0.47,-0.5,-0.49,0.52,1.0,0.32,0.51,-0.05,-0.18,0.55,0.04,0.1,-0.06,-0.07,0.02,-0.46,-0.09,0.06,-0.07,-0.11,-0.02,0.06,0.02,0.05,-0.02,0.05,-0.06,0.02,-0.05,0.23,-0.13,0.06,0.0,-0.01,0.02,,,,0.02,-0.02
atr_vol_20,0.04,0.05,0.04,0.04,0.16,0.32,1.0,0.13,0.18,0.04,0.22,-0.03,0.13,0.14,0.16,-0.06,-0.02,-0.02,-0.08,0.03,0.1,-0.03,0.01,0.05,0.05,0.1,-0.06,-0.06,-0.05,-0.17,0.38,-0.15,0.34,-0.01,0.01,0.0,,,,0.09,0.04
range_pct,-0.21,-0.18,-0.25,-0.21,0.62,0.51,0.13,1.0,0.05,-0.08,0.26,0.53,0.06,0.04,0.01,0.07,-0.21,0.12,0.21,-0.01,-0.09,-0.03,-0.19,0.23,0.02,-0.05,0.09,0.03,-0.0,0.03,0.1,-0.05,0.03,0.08,-0.08,0.01,,,,0.01,-0.01
dist_sma50_pct,0.16,0.17,0.17,0.18,0.11,-0.05,0.18,0.05,1.0,0.39,0.3,-0.02,0.07,0.69,0.64,0.49,0.66,0.32,-0.28,0.18,0.51,0.03,-0.01,0.03,0.1,0.26,-0.21,-0.02,-0.03,0.34,0.12,0.24,0.02,-0.01,0.01,0.01,,,,-0.09,-0.05
macd_hist,0.04,0.05,0.05,0.05,-0.03,-0.18,0.04,-0.08,0.39,1.0,0.08,-0.02,-0.03,0.42,0.43,0.22,0.7,0.3,-0.28,0.13,0.72,0.03,-0.01,0.01,0.11,0.29,-0.26,0.0,0.02,0.06,0.06,-0.05,-0.07,0.0,0.01,-0.01,,,,-0.07,-0.03
bb_bw_20,-0.16,-0.15,-0.16,-0.16,0.32,0.55,0.22,0.26,0.3,0.08,1.0,-0.03,0.14,0.2,0.29,0.13,-0.26,0.07,-0.01,-0.0,0.12,-0.0,0.02,0.01,0.04,0.12,-0.05,0.0,0.02,0.06,0.15,-0.02,-0.08,-0.0,-0.0,0.01,,,,-0.0,-0.01
vol_ratio_20,0.02,0.04,-0.0,0.02,0.64,0.04,-0.03,0.53,-0.02,-0.02,-0.03,1.0,0.03,0.03,-0.03,0.02,-0.03,0.22,0.22,0.05,-0.05,-0.02,-0.16,0.01,-0.0,0.07,0.08,0.03,-0.04,0.01,0.03,0.0,0.02,-0.0,0.07,-0.12,,,,0.01,0.0
vol_cv_20,0.07,0.07,0.06,0.06,0.17,0.1,0.13,0.06,0.07,-0.03,0.14,0.03,1.0,-0.06,0.13,-0.03,-0.09,0.01,0.01,-0.05,-0.01,-0.01,0.06,0.0,0.05,0.0,-0.02,-0.03,0.01,0.02,0.34,0.05,0.18,0.0,-0.0,-0.0,,,,-0.12,-0.12
cmf_20,0.16,0.17,0.16,0.18,-0.0,-0.06,0.14,0.04,0.69,0.42,0.2,0.03,-0.06,1.0,0.66,0.55,0.6,0.3,-0.22,0.2,0.39,0.01,-0.02,0.04,-0.0,0.22,-0.14,-0.08,0.06,0.26,0.11,0.06,-0.02,-0.01,0.01,0.01,,,,0.0,0.0
up_down_vol_ratio_20,0.04,0.05,0.05,0.06,0.02,-0.07,0.16,0.01,0.64,0.43,0.29,-0.03,0.13,0.66,1.0,0.55,0.51,0.3,-0.18,0.11,0.37,-0.0,0.01,0.02,0.08,0.3,-0.22,-0.01,0.03,0.21,0.24,0.09,0.01,-0.01,0.01,0.01,,,,-0.02,-0.01
ret_vol_corr_20,0.03,0.03,0.03,0.03,0.02,0.02,-0.06,0.07,0.49,0.22,0.13,0.02,-0.03,0.55,0.55,1.0,0.38,0.17,-0.14,0.05,0.21,-0.01,-0.02,0.01,0.06,0.03,-0.03,0.01,-0.01,0.69,0.07,0.38,-0.12,-0.0,0.0,0.0,,,,-0.08,-0.02
pct_dist_to_20_high,0.26,0.27,0.28,0.29,-0.19,-0.46,-0.02,-0.21,0.66,0.7,-0.26,-0.03,-0.09,0.6,0.51,0.38,1.0,0.33,-0.34,0.28,0.62,0.04,-0.01,0.01,0.12,0.3,-0.32,-0.0,-0.03,0.23,0.01,0.15,0.04,-0.02,0.03,-0.01,,,,-0.09,-0.05
breakout_up_20,0.06,0.08,0.07,0.09,0.12,-0.09,-0.02,0.12,0.32,0.3,0.07,0.22,0.01,0.3,0.3,0.17,0.33,1.0,-0.06,0.3,0.33,-0.01,-0.11,-0.02,0.15,0.39,-0.19,0.01,-0.01,0.04,0.01,0.04,-0.02,0.07,-0.02,-0.03,,,,-0.01,0.0
breakout_down_20,-0.02,-0.03,-0.04,-0.05,0.13,0.06,-0.08,0.21,-0.28,-0.28,-0.01,0.22,0.01,-0.22,-0.18,-0.14,-0.34,-0.06,1.0,-0.24,-0.36,-0.01,-0.1,-0.03,-0.19,-0.18,0.43,0.02,0.01,-0.08,-0.08,-0.04,-0.01,0.05,-0.03,0.0,,,,0.07,0.05
vwap_dist,-0.02,0.02,0.02,0.07,0.0,-0.07,0.03,-0.01,0.18,0.13,-0.0,0.05,-0.05,0.2,0.11,0.05,0.28,0.3,-0.24,1.0,0.22,-0.01,0.02,-0.01,0.03,0.46,-0.45,-0.02,0.03,0.02,-0.0,0.02,-0.02,-0.02,0.0,0.01,,,,-0.02,-0.01
vwap_slope_5,0.08,0.09,0.1,0.11,-0.01,-0.11,0.1,-0.09,0.51,0.72,0.12,-0.05,-0.01,0.39,0.37,0.21,0.62,0.33,-0.36,0.22,1.0,0.04,-0.01,0.03,0.21,0.41,-0.44,0.01,-0.01,0.1,0.1,0.07,-0.01,-0.0,0.01,0.0,,,,-0.08,-0.06
wick_to_body_ratio,0.03,0.03,0.03,0.03,-0.02,-0.02,-0.03,-0.03,0.03,0.03,-0.0,-0.02,-0.01,0.01,-0.0,-0.01,0.04,-0.01,-0.01,-0.01,0.04,1.0,0.04,-0.01,-0.01,0.01,-0.01,0.02,-0.05,0.02,-0.01,0.01,-0.02,-0.02,0.04,-0.0,,,,-0.03,-0.04
inside_bar,-0.0,-0.01,0.01,-0.0,-0.06,0.06,0.01,-0.19,-0.01,-0.01,0.02,-0.16,0.06,-0.02,0.01,-0.02,-0.01,-0.11,-0.1,0.02,-0.01,0.04,1.0,-0.13,0.04,-0.02,-0.09,-0.03,0.02,0.0,0.05,-0.02,0.02,-0.05,0.03,0.0,,,,0.02,0.01
engulfing,0.01,0.02,0.0,0.01,0.03,0.02,0.05,0.23,0.03,0.01,0.01,0.01,0.0,0.04,0.02,0.01,0.01,-0.02,-0.03,-0.01,0.03,-0.01,-0.13,1.0,0.02,-0.07,-0.04,-0.01,0.01,0.01,0.0,-0.0,0.02,0.06,-0.06,-0.01,,,,0.02,-0.01
gap_pct,-0.07,-0.08,-0.08,-0.07,0.08,0.05,0.05,0.02,0.1,0.11,0.04,-0.0,0.05,-0.0,0.08,0.06,0.12,0.15,-0.19,0.03,0.21,-0.01,0.04,0.02,1.0,0.24,-0.26,-0.08,0.05,0.05,0.12,0.06,0.03,-0.05,-0.0,0.03,,,,-0.02,0.01
up_streak,-0.03,-0.01,-0.01,0.01,0.09,-0.02,0.1,-0.05,0.26,0.29,0.12,0.07,0.0,0.22,0.3,0.03,0.3,0.39,-0.18,0.46,0.41,0.01,-0.02,-0.07,0.24,1.0,-0.54,-0.0,0.0,-0.08,0.08,-0.04,-0.02,-0.01,0.01,0.01,,,,-0.11,-0.12
down_streak,-0.02,-0.04,-0.05,-0.07,0.02,0.05,-0.06,0.09,-0.21,-0.26,-0.05,0.08,-0.02,-0.14,-0.22,-0.03,-0.32,-0.19,0.43,-0.45,-0.44,-0.01,-0.09,-0.04,-0.26,-0.54,1.0,0.01,-0.02,0.05,-0.09,0.02,-0.07,0.03,-0.0,-0.02,,,,0.04,0.03
wick_up_streak_3,0.11,0.12,0.11,0.11,-0.04,-0.06,-0.06,0.03,-0.02,0.0,0.0,0.03,-0.03,-0.08,-0.01,0.01,-0.0,0.01,0.02,-0.02,0.01,0.02,-0.03,-0.01,-0.08,-0.0,0.01,1.0,-0.5,-0.0,-0.14,-0.05,-0.06,0.01,0.0,-0.03,,,,-0.02,-0.01
wick_down_streak_3,-0.11,-0.11,-0.11,-0.11,-0.02,0.02,-0.05,-0.0,-0.03,0.02,0.02,-0.04,0.01,0.06,0.03,-0.01,-0.03,-0.01,0.01,0.03,-0.01,-0.05,0.02,0.01,0.05,0.0,-0.02,-0.5,1.0,0.04,0.11,0.05,-0.01,-0.01,0.01,-0.0,,,,0.03,0.02
ret_skew_20,0.02,0.02,0.02,0.02,-0.03,-0.05,-0.17,0.03,0.34,0.06,0.06,0.01,0.02,0.26,0.21,0.69,0.23,0.04,-0.08,0.02,0.1,0.02,0.0,0.01,0.05,-0.08,0.05,-0.0,0.04,1.0,0.11,0.5,-0.18,0.0,-0.0,0.01,,,,-0.07,-0.02
ret_kurt_20,0.03,0.04,0.03,0.03,0.19,0.23,0.38,0.1,0.12,0.06,0.15,0.03,0.34,0.11,0.24,0.07,0.01,0.01,-0.08,-0.0,0.1,-0.01,0.05,0.0,0.12,0.08,-0.09,-0.14,0.11,0.11,1.0,0.02,0.4,-0.01,0.01,-0.0,,,,0.04,0.04
ret_skew_60,0.06,0.06,0.06,0.06,-0.1,-0.13,-0.15,-0.05,0.24,-0.05,-0.02,0.0,0.05,0.06,0.09,0.38,0.15,0.04,-0.04,0.02,0.07,0.01,-0.02,-0.0,0.06,-0.04,0.02,-0.05,0.05,0.5,0.02,1.0,-0.14,0.0,-0.01,0.01,,,,0.02,0.04
ret_kurt_60,0.22,0.23,0.22,0.22,0.08,0.06,0.34,0.03,0.02,-0.07,-0.08,0.02,0.18,-0.02,0.01,-0.12,0.04,-0.02,-0.01,-0.02,-0.01,-0.02,0.02,0.02,0.03,-0.02,-0.07,-0.06,-0.01,-0.18,0.4,-0.14,1.0,-0.01,-0.0,0.01,,,,-0.06,-0.01
dow,-0.0,0.0,-0.0,-0.0,-0.01,0.0,-0.01,0.08,-0.01,0.0,-0.0,-0.0,0.0,-0.01,-0.01,-0.0,-0.02,0.07,0.05,-0.02,-0.0,-0.02,-0.05,0.06,-0.05,-0.01,0.03,0.01,-0.01,0.0,-0.01,0.0,-0.01,1.0,-0.63,-0.21,,,,-0.0,0.01
dow_sin,-0.0,-0.0,0.0,-0.0,0.05,-0.01,0.01,-0.08,0.01,0.01,-0.0,0.07,-0.0,0.01,0.01,0.0,0.03,-0.02,-0.03,0.0,0.01,0.04,0.03,-0.06,-0.0,0.01,-0.0,0.0,0.01,-0.0,0.01,-0.01,-0.0,-0.63,1.0,-0.42,,,,-0.01,0.0
dow_cos,-0.0,-0.0,-0.0,-0.0,-0.07,0.02,0.0,0.01,0.01,-0.01,0.01,-0.12,-0.0,0.01,0.01,0.0,-0.01,-0.03,0.0,0.01,0.0,-0.0,0.0,-0.01,0.03,0.01,-0.02,-0.03,-0.0,0.01,-0.0,0.01,0.01,-0.21,-0.42,1.0,,,,0.02,-0.02
hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour_sin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour_cos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y_reg,-0.12,-0.12,-0.12,-0.12,-0.0,0.02,0.09,0.01,-0.09,-0.07,-0.0,0.01,-0.12,0.0,-0.02,-0.08,-0.09,-0.01,0.07,-0.02,-0.08,-0.03,0.02,0.02,-0.02,-0.11,0.04,-0.02,0.03,-0.07,0.04,0.02,-0.06,-0.0,-0.01,0.02,,,,1.0,0.77
y_cls,-0.06,-0.06,-0.06,-0.06,-0.02,-0.02,0.04,-0.01,-0.05,-0.03,-0.01,0.0,-0.12,0.0,-0.01,-0.02,-0.05,0.0,0.05,-0.01,-0.06,-0.04,0.01,-0.01,0.01,-0.12,0.03,-0.01,0.02,-0.02,0.04,0.04,-0.01,0.01,0.0,-0.02,,,,0.77,1.0
